before_stopword,after_stopword
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['boleh', 'lah', 'buat', 'tambah', 'back', 'uptakutnya', 'banyak', 'cedera', 'yang', 'ada', 'nyalah', 'menyalahkan', 'bisanya', 'nanti', 'kalo', 'enggak', 'ada', 'pergantian', 'pemain', 'senior']",back uptakutnya cedera nyalah menyalahkan bisanya kalo pergantian pemain senior
"['saya', 'harap', 'ruben', 'amorim', 'bisa', 'segera', 'mengatasi', 'masalah', 'ketajaman', 'lini', 'depan', 'hasil', 'imbang', 'menunjukkan', 'ada', 'ruang', 'untuk', 'perbaikan']",harap ruben amorim mengatasi ketajaman lini hasil imbang ruang perbaikan
"['beban', 'jual', 'saja', 'sama', 'kayak', 'antoni']",beban jual kayak antoni
"['ya', 'makanya', 'baru', 'match', 'langsung', 'mau', 'nyetel', 'permainan', 'kayak', 'bagaimana', 'lagi']",ya match langsung nyetel permainan kayak
"['lu', 'yang', 'aneh', 'jelas', 'jelas', 'posisi', 'itu', 'bilbao', 'dan', 'mereka', 'kalah', 'sama', 'besiktas', 'di', 'matchday', 'sebelumnya', 'aneh', 'lu']",lu aneh posisi bilbao kalah besiktas di matchday aneh lu
"['kalo', 'sampai', 'di', 'terima', 'fix', 'ineos', 'habis', 'memasak', 'langsung', 'mencret', 'mencret']",kalo di terima fix ineos habis memasak langsung mencret mencret
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['hojlund', 'makin', 'tajam', 'tapi', 'backline', 'masih', 'keropos', 'kita', 'enggak', 'bisa', 'terusterusan', 'begini', 'masih', 'belum', 'meyakinkan']",hojlund tajam backline keropos terusterusan
"['mengomong', 'doang', 'lo']",mengomong doang lo
"['kekalahan', 'yang', 'sangat', 'mengecewakan', 'kita', 'terlalu', 'mudah', 'kebobolan', 'dan', 'enggak', 'ada', 'perbaikan', 'di', 'lini', 'belakang']",kekalahan mengecewakan mudah kebobolan perbaikan di lini
"['selagii', 'kipernya', 'onanii', 'mah', 'enggak', 'herann']",selagii kipernya onanii mah herann
"['benar', 'kata', 'amorim', 'dia', 'butuh', 'latihan', 'dan', 'terbukti', 'pas', 'jadwal', 'enggak', 'padat', 'team', 'mulai', 'memahami', 'taktik', 'amorim']",amorim butuh latihan terbukti pas jadwal padat team memahami taktik amorim
"['kiper', 'tolong', 'lah', 'jangan', 'oanani', 'terus', 'njim']",kiper tolong oanani njim
"['permainan', 'lebih', 'terorganisir', 'di', 'bawah', 'ruben', 'amorim', 'meskipun', 'tim', 'belum', 'tampil', 'maksimal', 'saya', 'melihat', 'banyak', 'potensi', 'dalam', 'tim', 'ini']",permainan terorganisir di ruben amorim tim tampil maksimal potensi tim
"['yang', 'kocak', 'ngaapin', 'di', 'masukin', 'tomini']",kocak ngaapin di masukin tomini
"['semoga', 'mu', 'bisa', 'membawa', 'pulang', 'trofi', 'lagi', 'di', 'musim', 'ini', 'kerja', 'keras', 'harus', 'terus', 'berlanjut']",semoga mu membawa pulang trofi di musim kerja keras berlanjut
"['lu', 'pikir', 'zirkzee', 'hojlund', 'sebagus', 'isakosimhen', 'kali', 'ya', 'ayolah', 'hojlund', 'pertandingan', 'terakhir', 'epl', 'kagak', 'golin', 'zirkzee', 'pelatih', 'manapun', 'juga', 'pusing', 'punya', 'striker', 'modelan', 'kayak', 'hojlund', 'zirkzee', 'andai', 'salah', 'satu', 'dimainin', 'juga', 'belum', 'tentu', 'bagus']",lu pikir zirkzee hojlund sebagus isakosimhen kali ya ayolah hojlund pertandingan epl kagak golin zirkzee pelatih manapun pusing striker modelan kayak hojlund zirkzee andai salah dimainin bagus
"['kok', 'bisa']",
"['kena', 'senggol', 'kau', 'kan', 'sama', 'yang', 'lain', 'dasar', 'pendukung', 'eth']",kena senggol kau dasar pendukung eth
"['dorgu', 'kok', 'di', 'wingback', 'kanan', 'dalot', 'kalau', 'di', 'wingback', 'kiri', 'hancur', 'main', 'nya']",dorgu di wingback kanan dalot di wingback kiri hancur main nya
"['anjing', 'wasitnya']",anjing wasitnya
"['midchester', 'united']",midchester united
"['van', 'der', 'sar']",van der sar
"['ten', 'hag', 'mengubah', 'pendekatan', 'tim', 'menjadi', 'lebih', 'sabar', 'dan', 'terorganisir', 'namun', 'kadang', 'serangan', 'tim', 'terlihat', 'terlalu', 'kaku']",ten hag mengubah pendekatan tim sabar terorganisir kadang serangan tim kaku
"['ten', 'hag']",ten hag
"['ya', 'allah']",ya allah
['si'],si
['ethout'],ethout
"['emyu', 'punya', 'kiper', 'jago', 'malah', 'di', 'buang', 'lebih', 'memilih', 'kiper', 'lawak']",emyu kiper jago di buang memilih kiper lawak
"['formasi', 'bolehlah', 'sekalikali', 'enggak', 'onana', 'dlc', 'martinez', 'dc', 'maguire', 'drc', 'deh', 'light', 'dmc', 'ugarte', 'mcr', 'casemiro', 'mcl', 'mainoo', 'dmr', 'dalot', 'dml', 'shaw', 'amcr', 'amad', 'amcl', 'bruno', 'fc', 'hojlund']",formasi sekalikali onana dlc martinez dc maguire drc deh light dmc ugarte mcr casemiro mcl mainoo dmr dalot dml shaw amcr amad amcl bruno fc hojlund
"['formasi', 'bolehlah', 'sekalikali', 'enggak', 'onana', 'dlc', 'martinez', 'dc', 'maguire', 'drc', 'deh', 'light', 'dmc', 'ugarte', 'mcr', 'casemiro', 'mcl', 'mainoo', 'dmr', 'dalot', 'dml', 'shaw', 'amcr', 'amad', 'amcl', 'bruno', 'fc', 'hojlund']",formasi sekalikali onana dlc martinez dc maguire drc deh light dmc ugarte mcr casemiro mcl mainoo dmr dalot dml shaw amcr amad amcl bruno fc hojlund
"['rashford', 'pun', 'tak', 'guna']",rashford
"['dorgu', 'itu', 'type', 'pemain', 'versatile', 'sama', 'kayak', 'marcos', 'llorente', 'rodrigo', 'deh', 'paul', 'di', 'atm', 'bisa', 'main', 'di', 'beberapa', 'posisi', 'kalo', 'lu', 'main', 'efootball', 'pasti', 'tau']",dorgu type pemain versatile kayak marcos llorente rodrigo deh paul di atm main di posisi kalo lu main efootball tau
"['bukan', 'nya', 'enggak', 'ada', 'biaya', 'peminjaman', 'ya', 'terus', 'sancho', 'rela', 'turun', 'gaji', 'sekutar', 'ke', 'an', 'kalo', 'chelsea', 'mau', 'bayar', 'ke', 'yang', 'ada', 'kemarin', 'sekalian', 'beli', 'oshimhem', 'bukan', 'sancho']",nya biaya peminjaman ya sancho rela turun gaji sekutar ke an kalo chelsea bayar ke kemarin beli oshimhem sancho
"['takut', 'banget', 'di', 'golin', 'sancho']",takut banget di golin sancho
"['ternyata', 'belum', 'berubah', 'padahal', 'liverpool', 'baru', 'ganti', 'pelatih']",berubah liverpool ganti pelatih
"['laga', 'kedua', 'amorim', 'kemenangan', 'tapi', 'jangan', 'lupa', 'kita', 'masih', 'banyak', 'pr', 'di', 'lini', 'belakang']",laga amorim kemenangan lupa pr di lini
"['kata', 'untuk', 'casemiro']",casemiro
"['berharap', 'tidak', 'degradasi', 'saja', 'bersyukur', 'deh']",berharap degradasi bersyukur deh
"['kemenangan', 'tapi', 'saya', 'masih', 'enggak', 'puas', 'dengan', 'beberapa', 'kebobolan', 'yang', 'bisa', 'terjadi', 'harus', 'lebih', 'rapat', 'di', 'belakang']",kemenangan puas kebobolan rapat di
"['masa', 'enggak', 'ada', 'yang', 'mau', 'beli', 'juga']",beli
"['amorim', 'memberi', 'banyak', 'ruang', 'bagi', 'pemain', 'muda', 'berkembang', 'tetapi', 'pengambilan', 'keputusan', 'di', 'depan', 'gawang', 'masih', 'jadi', 'masalah']",amorim ruang pemain muda berkembang pengambilan keputusan di gawang
"['jual', 'saja', 'menyarankan']",jual menyarankan
"['kenapa', 'enggak', 'tertarik', 'sama', 'felix', 'ya', 'kemarin', 'mayan', 'itu', 'buat', 'gantiin', 'el', 'bola', 'bali', 'padahal']",tertarik felix ya kemarin mayan gantiin el bola bali
"['amorim', 'lebih', 'berani', 'rotasi', 'pemain', 'tidak', 'terpaku', 'pada', 'nama', 'besar', 'seperti', 'ten', 'hag']",amorim berani rotasi pemain terpaku nama ten hag
"['masalah', 'di', 'mu', 'ini', 'enggak', 'melulu', 'karena', 'pelatih', 'coba', 'di', 'ingat', 'lagi', 'deh', 'statement', 'ronaldo', 'belum', 'lama', 'ini', 'tentang', 'mu']",di mu melulu pelatih coba di deh statement ronaldo mu
"['hojlund', 'striker', 'bloon']",hojlund striker bloon
"['enggak', 'akan', 'digubris', 'bro', 'meski', 'ada', 'pemain', 'offside', 'tapi', 'yang', 'nerima', 'harry', 'dan', 'itu', 'langsung', 'goal', 'bukan', 'rebond', 'yang', 'mengarah', 'ke', 'pemain', 'yang', 'offside']",digubris bro pemain offside nerima harry langsung goal rebond mengarah ke pemain offside
"['lini', 'pertahanan', 'semakin', 'solid', 'di', 'bawah', 'ruben', 'amorim', 'namun', 'greenwood', 'dan', 'rashford', 'harus', 'lebih', 'tajam', 'dalam', 'menyelesaikan', 'peluang']",lini pertahanan solid di ruben amorim greenwood rashford tajam menyelesaikan peluang
"['tumben', 'enggak', 'kena', 'anulir', 'var', 'rejeki']",tumben kena anulir var rejeki
"['eriksen', 'terkadang', 'terlalu', 'lambat', 'dalam', 'mengambil', 'keputusan', 'beberapa', 'serangan', 'kita', 'jadi', 'terhenti', 'karena', 'penguasaan', 'bola', 'yang', 'kurang', 'cepat']",eriksen terkadang lambat mengambil keputusan serangan terhenti penguasaan bola cepat
"['amorim', 'atau', 'ten', 'hag', 'sama', 'saja', 'mu', 'butuh', 'revolusi', 'total']",amorim ten hag mu butuh revolusi total
"['dalot', 'apa', 'lupa', 'kalau', 'dia', 'bek', 'kiri']",dalot lupa bek kiri
"['banyak', 'pelanggaran', 'aneh', 'tapi', 'terlepas', 'dari', 'itu', 'mainnya', 'jelek', 'rashford', 'mentok', 'garnacho', 'juga', 'ikut', 'ikutan', 'zirkzee', 'oke', 'bruno', 'kalo', 'sudah', 'frustasi', 'ya', 'begitu', 'case', 'sih', 'parah', 'semoga', 'ugarte', 'bisa', 'gantiin', 'role', 'nya', 'onana', 'sudah', 'deh', 'bapuk', 'buildup', 'sih', 'lumayan', 'tapi', 'kurang', 'efektif']",pelanggaran aneh terlepas mainnya jelek rashford mentok garnacho ikutan zirkzee oke bruno kalo frustasi ya case sih parah semoga ugarte gantiin role nya onana deh bapuk buildup sih lumayan efektif
"['menang', 'lawan', 'city', 'di', 'final', 'juga', 'hoki', 'brrti', 'ya']",menang lawan city di final hoki brrti ya
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['bagus', 'enggak', 'bang', 'dorgu', 'mainnya']",bagus bang dorgu mainnya
"['lini', 'serang', 'masih', 'belum', 'tajam', 'namun', 'saya', 'optimis', 'ruben', 'amorim', 'akan', 'segera', 'memperbaiki', 'kekurangan', 'tersebut']",lini serang tajam optimis ruben amorim memperbaiki kekurangan
"['asli', 'mana', 'mengesalkan', 'banget', 'tuh', 'orang', 'segala', 'peluk', 'manja', 'ke', 'king', 'harry']",asli mengesalkan banget tuh orang peluk manja ke king harry
"['untuk', 'saat', 'ini', 'belum', 'ada']",
"['sty', 'ini']",sty
"['jadi', 'lo', 'tugasnya', 'cuma', 'koar', 'ya', 'siaap', 'kelihatan', 'kualitasnya', 'dimana']",lo tugasnya koar ya siaap kualitasnya dimana
"['untung', 'lah', 'kan', 'peminjaman', 'tahun', 'dengan', 'kewajiban', 'membeli', 'aetelah', 'nya', 'juta', 'pinjam', 'juta', 'ditambah', 'gaji', 'ribu', 'dikali', 'tahun', 'juta', 'total', 'nya', 'hampur', 'juta', 'an']",untung peminjaman kewajiban membeli aetelah nya juta pinjam juta ditambah gaji ribu dikali juta total nya hampur juta an
"['adminnya', 'respect', 'keren', 'guys']",adminnya respect keren guys
"['jadon', 'sancho', 'harusnya', 'dikasih', 'lebih', 'banyak', 'menit', 'bermain', 'masih', 'potensial']",jadon sancho dikasih menit bermain potensial
"['dilihat', 'lihat', 'egonya', 'amorim', 'sama', 'sih', 'botak', 'dia', 'enggak', 'mikir', 'apa', 'ya', 'kalo', 'kedalaman', 'skuadnya', 'tuh', 'tipis', 'banget', 'orang', 'mah', 'nanti', 'saja', 'kayak', 'pas', 'akhir', 'musim', 'biar', 'sekalian', 'cuci', 'gudang']",lihat egonya amorim sih botak mikir ya kalo kedalaman skuadnya tuh tipis banget orang mah kayak pas musim biar cuci gudang
"['ya', 'syukur', 'kalo', 'lo', 'menikmati', 'permainan', 'antah', 'berantah', 'aplg', 'doyan', 'lihat', 'bola', 'di', 'trashford']",ya syukur kalo lo menikmati permainan antah berantah aplg doyan lihat bola di trashford
"['mereka', 'beli', 'lebih', 'dari', 'bro', 'masa', 'iya', 'dijual']",beli bro iya dijual
"['saya', 'melihat', 'banyak', 'perubahan', 'positif', 'dalam', 'permainan', 'tim', 'meskipun', 'hasil', 'imbang', 'ini', 'saya', 'yakin', 'ruben', 'amorim', 'akan', 'membawa', 'mu', 'kembali', 'ke', 'jalur', 'kemenangan']",perubahan positif permainan tim hasil imbang ruben amorim membawa mu ke jalur kemenangan
"['lini', 'serang', 'masih', 'menjadi', 'masalah', 'utama', 'tapi', 'saya', 'percaya', 'dengan', 'waktu', 'ruben', 'amorim', 'akan', 'membuat', 'tim', 'ini', 'lebih', 'tajam', 'di', 'depan', 'gawang']",lini serang utama percaya ruben amorim tim tajam di gawang
"['laga', 'kedua', 'menunjukkan', 'peningkatan', 'di', 'lini', 'belakang', 'tetapi', 'bruno', 'fernandes', 'masih', 'perlu', 'lebih', 'tajam', 'dalam', 'memberikan', 'assist', 'di', 'lini', 'depan']",laga peningkatan di lini bruno fernandes tajam assist di lini
"['tampil', 'solid', 'di', 'babak', 'pertama', 'tapi', 'babak', 'kedua', 'mulai', 'kehilangan', 'fokus', 'harus', 'lebih', 'fokus', 'di', 'pertandingan', 'selanjutnya']",tampil solid di babak babak kehilangan fokus fokus di pertandingan
"['sudah', 'bingung', 'sebingung', 'bingungnya', 'gue', 'sama', 'emyu', 'winger', 'enggak', 'ada', 'yang', 'berani', 'menusuk', 'passing', 'enggak', 'ada', 'yang', 'ada', 'visi', 'nya', 'dikutuk', 'apa', 'ya', 'emyu', 'ini']",bingung sebingung bingungnya gue emyu winger berani menusuk passing visi nya dikutuk ya emyu
"['var', 'enggak', 'berlaku', 'kalo', 'mu', 'yang', 'di', 'langgar']",var berlaku kalo mu di langgar
"['kayak', 'berasa', 'ngaruh', 'saja', 'ke', 'tim']",kayak berasa ngaruh ke tim
"['stay', 'semusim', 'lagi']",stay semusim
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['ruben', 'amorim', 'membawa', 'filosofi', 'baru', 'yang', 'lebih', 'progresif', 'namun', 'saya', 'merasa', 'masih', 'ada', 'kekurangan', 'yang', 'perlu', 'diperbaiki', 'di', 'lini', 'serang']",ruben amorim membawa filosofi progresif kekurangan diperbaiki di lini serang
"['jual', 'saja', 'sudah', 'untung', 'kok', 'buat', 'emyu', 'buat', 'apa', 'melihara', 'parasit']",jual untung emyu melihara parasit
"['onana', 'enggak', 'ada', 'reflek']",onana reflek
"['asli', 'ini', 'tim', 'enggak', 'ada', 'gairah', 'main', 'sama', 'sekali', 'kayak', 'pemain', 'tarkam']",asli tim gairah main kayak pemain tarkam
"['palmer', 'saja', 'gasing']",palmer gasing
"['suee', 'kenapa', 'lebih', 'enak', 'menonton', 'brighton', 'maennya']",suee enak menonton brighton maennya
"['kekalahan', 'memalukan', 'pertahanan', 'terlalu', 'bocor', 'harus', 'ada', 'perubahan', 'besar', 'segera']",kekalahan memalukan pertahanan bocor perubahan
"['the', 'real', 'karmainstagramcsvinstagram']",the real karmainstagramcsvinstagram
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
['betul'],
"['antony', 'tuker', 'mudryk', 'saja']",antony tuker mudryk
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['bisa', 'banget', 'bestie']",banget bestie
"['kombinasi', 'lini', 'tengah', 'lebih', 'solid', 'sekarang', 'tapi', 'masih', 'perlu', 'peningkatan']",kombinasi lini solid peningkatan
"['bola', 'sudah', 'masuk', 'dan', 'baru', 'kena', 'dengkul', 'zirkzeeselalu', 'di', 'curangi', 'wasit', 'ggmu']",bola masuk kena dengkul zirkzeeselalu di curangi wasit ggmu
"['jasa', 'vektor', 'dm', 'saja']",jasa vektor dm
"['dikit', 'nyalain', 'pelatih', 'bagaimana', 'ya']",dikit nyalain pelatih ya
"['taktik', 'sudah', 'oke', 'tapi', 'kenapa', 'ya', 'serangan', 'masih', 'suka', 'mandek', 'pertahanan', 'kadang', 'enggak', 'konsisten', 'juga']",taktik oke ya serangan suka mandek pertahanan kadang konsisten
"['kemungkinan', 'memasukkan', 'mactominay', 'sih', 'botak']",memasukkan mactominay sih botak
['harinya'],harinya
"['mu', 'harus', 'meningkatkan', 'permainan', 'passing', 'di', 'lini', 'tengah', 'banyak', 'yang', 'harus', 'diperbaiki']",mu meningkatkan permainan passing di lini diperbaiki
"['ubur', 'ubur', 'ikan', 'lele', 'cape', 'banget', 'boleh']",ubur ubur ikan lele cape banget
"['hasil', 'imbang', 'ini', 'membuat', 'saya', 'sedikit', 'kecewa', 'tapi', 'saya', 'melihat', 'ada', 'potensi', 'besar', 'yang', 'bisa', 'dibawa', 'oleh', 'ruben', 'amorim']",hasil imbang kecewa potensi dibawa ruben amorim
"['ten', 'hag', 'sudah', 'menciptakan', 'dasar', 'yang', 'solid', 'dalam', 'permainan', 'tim', 'namun', 'mereka', 'perlu', 'lebih', 'tajam', 'dalam', 'penyelesaian', 'akhir']",ten hag menciptakan dasar solid permainan tim tajam penyelesaian
"['manajemen', 'dan', 'eth', 'lebih', 'tau', 'bro', 'kalo', 'mengikuti', 'fan', 'malah', 'ngambil', 'rabiot', 'terus', 'enggak', 'perform', 'ente', 'teriak', 'lagi']",manajemen eth tau bro kalo mengikuti fan ngambil rabiot perform ente teriak
"['ten', 'hag', 'punya', 'visi', 'bagus', 'tapi', 'eksekusi', 'kurang', 'amorim', 'lebih', 'realistis']",ten hag visi bagus eksekusi amorim realistis
"['ten', 'hag', 'harus', 'lebih', 'tegas', 'dalam', 'memilih', 'pemain', 'utama', 'rashford', 'lagi', 'turun', 'performanya', 'kasih', 'kesempatan', 'pemain', 'lain', 'dong']",ten hag memilih pemain utama rashford turun performanya kasih kesempatan pemain
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['dari', 'awal', 'pada', 'setuju', 'lebih', 'bagus', 'dalot', 'ketimbang', 'awb', 'lihat', 'tuh', 'habis', 'menyerang', 'selalu', 'off', 'position']",setuju bagus dalot ketimbang awb lihat tuh habis menyerang off position
"['team', 'spirit', 'meningkat', 'sejak', 'amorim', 'datang', 'pemain', 'lebih', 'enjoy', 'di', 'lapangan']",team spirit meningkat amorim pemain enjoy di lapangan
"['albert', 'padahal', 'lolos', 'dari', 'besar', 'saja', 'belum', 'tentu', 'bang', 'wkwk']",albert lolos bang wkwk
"['itu', 'bek', 'solid', 'banget', 'anjir']",bek solid banget anjir
"['capek', 'serius', 'deh']",capek serius deh
"['setuju', 'banget']",setuju banget
"['mu', 'harus', 'fokus', 'pada', 'pertandingan', 'berikutnya', 'jangan', 'lengah']",mu fokus pertandingan lengah
"['berani', 'taruhan', 'bulan', 'lagi', 'amorim', 'dipecat', 'pelatih', 'gagal', 'total']",berani taruhan amorim dipecat pelatih gagal total
"['tahan', 'emosi', 'sayang']",tahan emosi sayang
"['saya', 'berharap', 'ruben', 'amorim', 'bisa', 'segera', 'memperbaiki', 'masalah', 'ketajaman', 'di', 'depan', 'gawang', 'tim', 'semakin', 'terorganisir', 'namun', 'rashford', 'harus', 'lebih', 'efisien']",berharap ruben amorim memperbaiki ketajaman di gawang tim terorganisir rashford efisien
"['jaga', 'kesehatan', 'ya', 'teman', 'jangan', 'begadang', 'kalo', 'nanti', 'terbangun', 'jam', 'lebih', 'afdhol', 'nya', 'tahajjud', 'saja', 'dari', 'pada', 'lihat', 'nih', 'orang', 'main']",jaga kesehatan ya teman begadang kalo terbangun jam afdhol nya tahajjud lihat nih orang main
"['enggak', 'habis', 'mikir', 'sampai', 'botak']",habis mikir botak
['betul'],
"['bruno', 'kalo', 'sudah', 'ngelepas', 'bola', 'sering', 'bikin', 'gue', 'mikir', 'ini', 'orang', 'lihat', 'apa', 'di', 'lapangan', 'visi', 'kelas', 'dunia']",bruno kalo ngelepas bola bikin gue mikir orang lihat di lapangan visi kelas dunia
"['nah', 'itu', 'dia']",
"['sudah', 'bisa']",
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['garnacho', 'mode', 'tidak', 'mau', 'dijual']",garnacho mode dijual
"['mode', 'fun', 'football', 'saja', 'bagaimana', 'bang']",mode fun football bang
"['ten', 'hag', 'sudah', 'mulai', 'menunjukkan', 'dampak', 'positif', 'dengan', 'tim', 'yang', 'lebih', 'terorganisir', 'namun', 'hasilnya', 'masih', 'belum', 'maksimal']",ten hag dampak positif tim terorganisir hasilnya maksimal
"['tapi', 'presingnya', 'raspod', 'jelek']",presingnya raspod jelek
"['sabi', 'menambah', 'pasien', 'bpjs']",sabi menambah pasien bpjs
"['latihan', 'cap', 'tahi', 'kok', 'cidera', 'semua']",latihan cap tahi cidera
"['kalo', 'alasannya', 'enggak', 'tau', 'memang', 'suka', 'aneh', 'aneh', 'fa']",kalo alasannya tau suka aneh aneh fa
"['saya', 'kecewa', 'dengan', 'hasil', 'imbang', 'namun', 'saya', 'senang', 'melihat', 'bagaimana', 'ruben', 'amorim', 'mulai', 'memperbaiki', 'organisasi', 'permainan', 'tim']",kecewa hasil imbang senang ruben amorim memperbaiki organisasi permainan tim
"['kenapa', 'amorim', 'tidak', 'mencoba', 'lebih', 'banyak', 'pemain', 'muda', 'padahal', 'ada', 'potensi']",amorim mencoba pemain muda potensi
"['semoga', 'musim', 'depan', 'ada', 'perubahan', 'signifikan']",semoga musim perubahan signifikan
"['tahun', 'kemarin', 'saja', 'anjlok', 'mau', 'alasan', 'apa', 'lagi', 'cidera', 'lu', 'pikir', 'semua', 'tim', 'enggak', 'ada', 'yang', 'cedera']",kemarin anjlok alasan cidera lu pikir tim cedera
"['maulana', 'lah', 'enggak', 'percaya', 'takdir', 'lu', 'latihan', 'bentuk', 'dari', 'usaha', 'takdir', 'bisa', 'sesuai', 'keinginan', 'kalo', 'usaha', 'begitu', 'saja', 'enggak', 'paham', 'bang', 'sudah', 'besar', 'jangan', 'pendek', 'pendek', 'pemikirannya']",maulana percaya takdir lu latihan bentuk usaha takdir sesuai kalo usaha paham bang pendek pendek pemikirannya
"['kekalahan', 'sangat', 'kecewa', 'dengan', 'penampilan', 'tim', 'pertahanan', 'masih', 'sangat', 'rapuh', 'perlu', 'ada', 'perbaikan', 'cepat']",kekalahan kecewa penampilan tim pertahanan rapuh perbaikan cepat
"['ten', 'hag', 'harus', 'lebih', 'berani', 'rotasi', 'jangan', 'terus', 'mainin', 'pemain', 'yang', 'sedang', 'turun', 'performanya']",ten hag berani rotasi mainin pemain turun performanya
"['welbeck', 'mimpi', 'buruk', 'buat', 'emyu', 'langganan', 'coy', 'dia']",welbeck mimpi buruk emyu langganan coy
"['balas', 'babak', 'ke', 'di', 'stry', 'selalu', 'share', 'l', 'nk', 'menonton', 'emyu']",balas babak ke di stry share l nk menonton emyu
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['bagus', 'lah', 'biar', 'bisa', 'beli', 'winger', 'baru', 'lagi', 'yang', 'berani', 'menusuk', 'ke', 'dalam', 'sama', 'rajin', 'suplai', 'bola', 'ke', 'st']",bagus biar beli winger berani menusuk ke rajin suplai bola ke st
"['padahal', 'vs', 'lo', 'masih', 'saja', 'kalah']",vs lo kalah
"['hampir', 'nepis', 'dua', 'kali', 'sayang', 'bola', 'masuk', 'duluan']",nepis kali sayang bola masuk duluan
['eth'],eth
"['amorim', 'master', 'class', 'babak', 'kedua']",amorim master class babak
"['tuker', 'palmer', 'kalo', 'mau']",tuker palmer kalo
"['pov', 'untuk', 'pertandingan', 'kemarin', 'v', 'liverpool', 'kenapa', 'harus', 'ada', 'rashford', 'ya', 'karena', 'belio', 'satu', 'nya', 'homegrown', 'kalo', 'enggak', 'salah', 'aturannya', 'setiap', 'klubpertandingan', 'harus', 'memainkan', 'min', 'pemain', 'homegrown']",pov pertandingan kemarin v liverpool rashford ya belio nya homegrown kalo salah aturannya klubpertandingan memainkan min pemain homegrown
"['tim', 'lebih', 'berani', 'mengambil', 'inisiatif', 'serangan', 'dari', 'awal', 'pertandingan']",tim berani mengambil inisiatif serangan pertandingan
"['wkwkw', 'benar', 'masih', 'percaya', 'sama', 'eth', 'sama', 'onana', 'kiper', 'malas', 'gerak']",wkwkw percaya eth onana kiper malas gerak
"['harusnya', 'lebih', 'banyak', 'mainin', 'pemain', 'muda', 'kasih', 'mereka', 'kesempatan']",mainin pemain muda kasih kesempatan
"['semangat', 'terus', 'kita', 'pasti', 'bisa', 'meraih', 'kemenangan']",semangat meraih kemenangan
"['jadwal', 'main', 'kapan', 'jam', 'berapa']",jadwal main jam
"['banyak', 'pemain', 'mu', 'yang', 'performanya', 'naik', 'turun', 'harusnya', 'lebih', 'konsisten']",pemain mu performanya turun konsisten
"['ten', 'hag', 'terlalu', 'fokus', 'pada', 'possession', 'amorim', 'lebih', 'mementingkan', 'efektivitas']",ten hag fokus possession amorim mementingkan efektivitas
"['permainan', 'lebih', 'menghibur', 'tapi', 'masih', 'banyak', 'pr', 'yang', 'harus', 'diperbaiki']",permainan menghibur pr diperbaiki
"['mengomong', 'mengomong', 'martial', 'belum', 'dapat', 'tim', 'ya', 'gaes']",mengomong mengomong martial tim ya gaes
['harinya'],harinya
"['pressing', 'system', 'amorim', 'lebih', 'terstruktur', 'tapi', 'masih', 'butuh', 'waktu', 'untuk', 'sempurna']",pressing system amorim terstruktur butuh sempurna
"['kenapa', 'tiap', 'emyu', 'cetak', 'gol', 'itu', 'wasit', 'var', 'matanya', 'langsung', 'jeli']",emyu cetak gol wasit var matanya langsung jeli
"['ruben', 'amorim', 'sudah', 'mulai', 'membawa', 'perubahan', 'positif', 'meskipun', 'kami', 'hanya', 'bermain', 'imbang', 'saya', 'melihat', 'ada', 'peningkatan', 'dalam', 'filosofi', 'permainan']",ruben amorim membawa perubahan positif bermain imbang peningkatan filosofi permainan
"['update', 'transfer', 'sancho', 'bagaimana', 'min']",update transfer sancho min
"['poor', 'club']",poor club
"['harusnya', 'rashford', 'lebih', 'sering', 'dicadangkan', 'dulu', 'biar', 'dia', 'termotivasi']",rashford dicadangkan biar termotivasi
"['turun', 'sbagai', 'pemain', 'jangan', 'yadekya', 'jadi', 'penonton', 'saja']",turun sbagai pemain yadekya penonton
"['sangat', 'layak']",layak
"['alhamdulillah', 'menang', 'hoki']",alhamdulillah menang hoki
"['maino', 'ganti']",maino ganti
"['prattama', 'bukan', 'opsi', 'tapi', 'wajib']",prattama opsi wajib
"['jadinya', 'main', 'kapan', 'bang', 'jam', 'berapa']",main bang jam
"['dan', 'selalu', 'bikin', 'gebrakan', 'spektakuler']",bikin gebrakan spektakuler
"['sering', 'banget', 'kehilangan', 'bola', 'di', 'tengah', 'lapangan', 'parah', 'sih']",banget kehilangan bola di lapangan parah sih
"['ugarte', 'dm', 'maino', 'cuma', 'bruno', 'amf', 'lwf', 'garnacho', 'rwf', 'amad', 'cf', 'hojlund']",ugarte dm maino bruno amf lwf garnacho rwf amad cf hojlund
