before_tokenisasi,after_tokenisasi
jual saja menyarankan,"['jual', 'saja', 'menyarankan']"
kali enggak menonton emyu malah menang terus anjayyh,"['kali', 'enggak', 'menonton', 'emyu', 'malah', 'menang', 'terus', 'anjayyh']"
pemain kita harus mulai menonton tutorial youtube cara passing yang benar,"['pemain', 'kita', 'harus', 'mulai', 'menonton', 'tutorial', 'youtube', 'cara', 'passing', 'yang', 'benar']"
emyu legend main jam berapa min,"['emyu', 'legend', 'main', 'jam', 'berapa', 'min']"
transisi dari defense ke attack lebih cepat tidak berteletele seperti era ten hag,"['transisi', 'dari', 'defense', 'ke', 'attack', 'lebih', 'cepat', 'tidak', 'berteletele', 'seperti', 'era', 'ten', 'hag']"
enggak buruk sih tapi juga enggak istimewa standar banget,"['enggak', 'buruk', 'sih', 'tapi', 'juga', 'enggak', 'istimewa', 'standar', 'banget']"
peter schmeichel tahun waktu treble mu imbang lawan arsenal roy keane kartu merah di menit terakhir schemeichel save penalty nya bergkamp di perpanjangan waktu giggs cetak gol solo run legendaris,"['peter', 'schmeichel', 'tahun', 'waktu', 'treble', 'mu', 'imbang', 'lawan', 'arsenal', 'roy', 'keane', 'kartu', 'merah', 'di', 'menit', 'terakhir', 'schemeichel', 'save', 'penalty', 'nya', 'bergkamp', 'di', 'perpanjangan', 'waktu', 'giggs', 'cetak', 'gol', 'solo', 'run', 'legendaris']"
pie ora fit mlumpat we ora,"['pie', 'ora', 'fit', 'mlumpat', 'we', 'ora']"
alasan saja,"['alasan', 'saja']"
banyak kok baru main di epl bagus kalau di latih pelatih yang tegas pola permainan bagus,"['banyak', 'kok', 'baru', 'main', 'di', 'epl', 'bagus', 'kalau', 'di', 'latih', 'pelatih', 'yang', 'tegas', 'pola', 'permainan', 'bagus']"
betul,['betul']
memang berani eth cadangin rasi walaupun lagi anginan kayaknya enggak,"['memang', 'berani', 'eth', 'cadangin', 'rasi', 'walaupun', 'lagi', 'anginan', 'kayaknya', 'enggak']"
alasannya apa sih browsing enggak nemu,"['alasannya', 'apa', 'sih', 'browsing', 'enggak', 'nemu']"
kenapa ya aura onana kalo main rasanya mau kalah terus bawakan nya syukur alhamdulillah ada mantan lord edisi sebelumnya maguire jadi pembeda di akhir laga,"['kenapa', 'ya', 'aura', 'onana', 'kalo', 'main', 'rasanya', 'mau', 'kalah', 'terus', 'bawakan', 'nya', 'syukur', 'alhamdulillah', 'ada', 'mantan', 'lord', 'edisi', 'sebelumnya', 'maguire', 'jadi', 'pembeda', 'di', 'akhir', 'laga']"
pakai mu lu sudah,"['pakai', 'mu', 'lu', 'sudah']"
zirkzee ini,"['zirkzee', 'ini']"
apa sih yang dicari heran ruben ruben sarwendah menunggu drmh,"['apa', 'sih', 'yang', 'dicari', 'heran', 'ruben', 'ruben', 'sarwendah', 'menunggu', 'drmh']"
ya terus kenapa di mu menurun salah pelatih or pemain,"['ya', 'terus', 'kenapa', 'di', 'mu', 'menurun', 'salah', 'pelatih', 'or', 'pemain']"
poor club,"['poor', 'club']"
kagak woy dia habis slide habis itu mau berdiri gestur nya saja kayak nge hindar ini bola,"['kagak', 'woy', 'dia', 'habis', 'slide', 'habis', 'itu', 'mau', 'berdiri', 'gestur', 'nya', 'saja', 'kayak', 'nge', 'hindar', 'ini', 'bola']"
untung ada onana yang selalu bisa di andalkan,"['untung', 'ada', 'onana', 'yang', 'selalu', 'bisa', 'di', 'andalkan']"
kemarin harusnya ada yang nawar mahal klub arab kasih saja mayan buat beli oshimen,"['kemarin', 'harusnya', 'ada', 'yang', 'nawar', 'mahal', 'klub', 'arab', 'kasih', 'saja', 'mayan', 'buat', 'beli', 'oshimen']"
tumben enggak kena anulir var rejeki,"['tumben', 'enggak', 'kena', 'anulir', 'var', 'rejeki']"
kalo kasat mata offise tapi enggak apa-apa lah emyu sering di rugikan apalagi pas lawan tottenham,"['kalo', 'kasat', 'mata', 'offise', 'tapi', 'enggak', 'apa-apa', 'lah', 'emyu', 'sering', 'di', 'rugikan', 'apalagi', 'pas', 'lawan', 'tottenham']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
kamu keren onana enggak pernah becus nangkap penalti,"['kamu', 'keren', 'onana', 'enggak', 'pernah', 'becus', 'nangkap', 'penalti']"
betul bro tegas pokok nya,"['betul', 'bro', 'tegas', 'pokok', 'nya']"
mulai nglawak kahh,"['mulai', 'nglawak', 'kahh']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
raspot mamad kasmir harus diganti,"['raspot', 'mamad', 'kasmir', 'harus', 'diganti']"
kemenangan telak tapi bukan berarti kita aman amorim harus lebih keras perbaiki pertahanan mu,"['kemenangan', 'telak', 'tapi', 'bukan', 'berarti', 'kita', 'aman', 'amorim', 'harus', 'lebih', 'keras', 'perbaiki', 'pertahanan', 'mu']"
di pinjamkan bukan di jualbaca dan pahamilu ounya barang di pinjam orang di bayar di gaji lagilu enggak keluar duit,"['di', 'pinjamkan', 'bukan', 'di', 'jualbaca', 'dan', 'pahamilu', 'ounya', 'barang', 'di', 'pinjam', 'orang', 'di', 'bayar', 'di', 'gaji', 'lagilu', 'enggak', 'keluar', 'duit']"
dalot mah sudah mentok wkwk gue saja lebih suka awb dulu walaupun menyerang enggak bagus seenggaknya tanggung jawab di daerahnya tapi banyak fan bilang pertahanan terbaik adalah menyerang makan tuh gol pertama kemana dalot off position habis menyerang,"['dalot', 'mah', 'sudah', 'mentok', 'wkwk', 'gue', 'saja', 'lebih', 'suka', 'awb', 'dulu', 'walaupun', 'menyerang', 'enggak', 'bagus', 'seenggaknya', 'tanggung', 'jawab', 'di', 'daerahnya', 'tapi', 'banyak', 'fan', 'bilang', 'pertahanan', 'terbaik', 'adalah', 'menyerang', 'makan', 'tuh', 'gol', 'pertama', 'kemana', 'dalot', 'off', 'position', 'habis', 'menyerang']"
benar lagi,"['benar', 'lagi']"
fckn,['fckn']
hadeh,['hadeh']
mainnya lumayan enggak terlalu buruk tapi juga enggak spesial,"['mainnya', 'lumayan', 'enggak', 'terlalu', 'buruk', 'tapi', 'juga', 'enggak', 'spesial']"
cuman mu doang yang unbeaten,"['cuman', 'mu', 'doang', 'yang', 'unbeaten']"
offside,['offside']
pemain sinetron kah pemain arsenal ini,"['pemain', 'sinetron', 'kah', 'pemain', 'arsenal', 'ini']"
naufal mending pulang cuci kaki tidur ya karena komentar lu bikin orang tertawa terpingkal pingkal,"['naufal', 'mending', 'pulang', 'cuci', 'kaki', 'tidur', 'ya', 'karena', 'komentar', 'lu', 'bikin', 'orang', 'tertawa', 'terpingkal', 'pingkal']"
asyuu cuk dari awal laga formasi tahu qneh anjir minggu ditunggu buat menonton mu eh dibikin bad mood minggu kedepan,"['asyuu', 'cuk', 'dari', 'awal', 'laga', 'formasi', 'tahu', 'qneh', 'anjir', 'minggu', 'ditunggu', 'buat', 'menonton', 'mu', 'eh', 'dibikin', 'bad', 'mood', 'minggu', 'kedepan']"
itu lah yang saya lihat eth itu entah bagaimana,"['itu', 'lah', 'yang', 'saya', 'lihat', 'eth', 'itu', 'entah', 'bagaimana']"
mungkin karena ini sih jadi emyu menambah m saja,"['mungkin', 'karena', 'ini', 'sih', 'jadi', 'emyu', 'menambah', 'm', 'saja']"
mu harus meningkatkan permainan passing di lini tengah banyak yang harus diperbaiki,"['mu', 'harus', 'meningkatkan', 'permainan', 'passing', 'di', 'lini', 'tengah', 'banyak', 'yang', 'harus', 'diperbaiki']"
enggak apa-apa min katanya kemarin kan yang salah cidera dan pemain yang enggak perform bukan pelatihnya eth kan pelatih hebat kata mereka,"['enggak', 'apa-apa', 'min', 'katanya', 'kemarin', 'kan', 'yang', 'salah', 'cidera', 'dan', 'pemain', 'yang', 'enggak', 'perform', 'bukan', 'pelatihnya', 'eth', 'kan', 'pelatih', 'hebat', 'kata', 'mereka']"
info dari ig sebelah katanya gaji dibayar setengah min,"['info', 'dari', 'ig', 'sebelah', 'katanya', 'gaji', 'dibayar', 'setengah', 'min']"
kalau streaming dimana,"['kalau', 'streaming', 'dimana']"
amorim gagal total lebih baik ten hag balik lagi ke mu,"['amorim', 'gagal', 'total', 'lebih', 'baik', 'ten', 'hag', 'balik', 'lagi', 'ke', 'mu']"
komunikasi amorim dengan media lebih baik ten hag sering terkesan defensif,"['komunikasi', 'amorim', 'dengan', 'media', 'lebih', 'baik', 'ten', 'hag', 'sering', 'terkesan', 'defensif']"
amrabat saja sudah kali main di fiorentina,"['amrabat', 'saja', 'sudah', 'kali', 'main', 'di', 'fiorentina']"
ini pasti dikasih minum sprite campur insto sama ci onana makanya mereka enggak fit,"['ini', 'pasti', 'dikasih', 'minum', 'sprite', 'campur', 'insto', 'sama', 'ci', 'onana', 'makanya', 'mereka', 'enggak', 'fit']"
mudahan kalah terus biar di pecat,"['mudahan', 'kalah', 'terus', 'biar', 'di', 'pecat']"
oalah iya salah wkwk,"['oalah', 'iya', 'salah', 'wkwk']"
tahi kalo kata gua mahapa apa waktubeli buat di mainin pasang saja dulu lama lama juga paham atmosfer pl tiap beli pemen waktu waktu mulu enggak kaya tim tim lain beli buat di pasang,"['tahi', 'kalo', 'kata', 'gua', 'mahapa', 'apa', 'waktubeli', 'buat', 'di', 'mainin', 'pasang', 'saja', 'dulu', 'lama', 'lama', 'juga', 'paham', 'atmosfer', 'pl', 'tiap', 'beli', 'pemen', 'waktu', 'waktu', 'mulu', 'enggak', 'kaya', 'tim', 'tim', 'lain', 'beli', 'buat', 'di', 'pasang']"
bayindir sama heaton dijajanin apa sih sama onana ini dahlah pasrah saja wkwk,"['bayindir', 'sama', 'heaton', 'dijajanin', 'apa', 'sih', 'sama', 'onana', 'ini', 'dahlah', 'pasrah', 'saja', 'wkwk']"
maino habis dikasi jatah nih,"['maino', 'habis', 'dikasi', 'jatah', 'nih']"
ineos nya seriuseh ten hag nya becanda,"['ineos', 'nya', 'seriuseh', 'ten', 'hag', 'nya', 'becanda']"
ya pak onana menang balon dor,"['ya', 'pak', 'onana', 'menang', 'balon', 'dor']"
ajg sterling,"['ajg', 'sterling']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
jangan hujat formasinya kalo formasi ini menang tadi pasti beda ketikan kalian,"['jangan', 'hujat', 'formasinya', 'kalo', 'formasi', 'ini', 'menang', 'tadi', 'pasti', 'beda', 'ketikan', 'kalian']"
harus beli tipikal pemain no dan bisa free role plus penyerang pengalaman,"['harus', 'beli', 'tipikal', 'pemain', 'no', 'dan', 'bisa', 'free', 'role', 'plus', 'penyerang', 'pengalaman']"
bisa saja begitu bang kan enggak tau,"['bisa', 'saja', 'begitu', 'bang', 'kan', 'enggak', 'tau']"
penyerang kiri ya kasih pemain di posisinya ada amad dan antony malah mainkan rashford disana,"['penyerang', 'kiri', 'ya', 'kasih', 'pemain', 'di', 'posisinya', 'ada', 'amad', 'dan', 'antony', 'malah', 'mainkan', 'rashford', 'disana']"
garnacho tm,"['garnacho', 'tm']"
percepat pecat pelatih botak ini,"['percepat', 'pecat', 'pelatih', 'botak', 'ini']"
mending tukang kebun old trafford jadi pelatih daripada amorim sungguh memalukan,"['mending', 'tukang', 'kebun', 'old', 'trafford', 'jadi', 'pelatih', 'daripada', 'amorim', 'sungguh', 'memalukan']"
itu twente diatas emyu bilbao mabok lu bro,"['itu', 'twente', 'diatas', 'emyu', 'bilbao', 'mabok', 'lu', 'bro']"
apa kabar zirkzee gue rasa dia bakal jadi pembeda buat mu diharapkan bisa nyetak gol banyak,"['apa', 'kabar', 'zirkzee', 'gue', 'rasa', 'dia', 'bakal', 'jadi', 'pembeda', 'buat', 'mu', 'diharapkan', 'bisa', 'nyetak', 'gol', 'banyak']"
buat mu cukup solid tapi kalau pertahanan masih seperti ini kita bisa kebobolan lebih banyak di laga berikutnya,"['buat', 'mu', 'cukup', 'solid', 'tapi', 'kalau', 'pertahanan', 'masih', 'seperti', 'ini', 'kita', 'bisa', 'kebobolan', 'lebih', 'banyak', 'di', 'laga', 'berikutnya']"
kekalahan yang mengecewakan tim sangat buruk pertahanan gagal total amorim harus segera cari solusi,"['kekalahan', 'yang', 'mengecewakan', 'tim', 'sangat', 'buruk', 'pertahanan', 'gagal', 'total', 'amorim', 'harus', 'segera', 'cari', 'solusi']"
ya jelas lah performa saja jelek dia bagus,"['ya', 'jelas', 'lah', 'performa', 'saja', 'jelek', 'dia', 'bagus']"
kemungkinan memasukkan mactominay sih botak,"['kemungkinan', 'memasukkan', 'mactominay', 'sih', 'botak']"
serangan balik mu bagus tapi pertahanannya juga harus kuat,"['serangan', 'balik', 'mu', 'bagus', 'tapi', 'pertahanannya', 'juga', 'harus', 'kuat']"
sangat tidak pantas kalo dapat trofi dengan permainan seperti itu,"['sangat', 'tidak', 'pantas', 'kalo', 'dapat', 'trofi', 'dengan', 'permainan', 'seperti', 'itu']"
belum terlihat perubahan signifikan tapi setidaknya ada perbaikan kecil dalam pola permainan,"['belum', 'terlihat', 'perubahan', 'signifikan', 'tapi', 'setidaknya', 'ada', 'perbaikan', 'kecil', 'dalam', 'pola', 'permainan']"
harinya,['harinya']
midchester united,"['midchester', 'united']"
formasi bolehlah sekalikali enggak onana dlc martinez dc maguire drc deh light dmc ugarte mcr casemiro mcl mainoo dmr dalot dml shaw amcr amad amcl bruno fc hojlund,"['formasi', 'bolehlah', 'sekalikali', 'enggak', 'onana', 'dlc', 'martinez', 'dc', 'maguire', 'drc', 'deh', 'light', 'dmc', 'ugarte', 'mcr', 'casemiro', 'mcl', 'mainoo', 'dmr', 'dalot', 'dml', 'shaw', 'amcr', 'amad', 'amcl', 'bruno', 'fc', 'hojlund']"
lae tenang ada mas mount,"['lae', 'tenang', 'ada', 'mas', 'mount']"
ini nih komen epik,"['ini', 'nih', 'komen', 'epik']"
amorim bawa mu main seperti tim juara ten hag cuma bisa parkir bus viva amorim,"['amorim', 'bawa', 'mu', 'main', 'seperti', 'tim', 'juara', 'ten', 'hag', 'cuma', 'bisa', 'parkir', 'bus', 'viva', 'amorim']"
kayaknya kalo begini terus ini musim terakhir eth,"['kayaknya', 'kalo', 'begini', 'terus', 'ini', 'musim', 'terakhir', 'eth']"
fa dan european league reality,"['fa', 'dan', 'european', 'league', 'reality']"
tetap saja rashford main fulltime yang diganti amad,"['tetap', 'saja', 'rashford', 'main', 'fulltime', 'yang', 'diganti', 'amad']"
tapi pemainnya juga lebih medioker bagaimana dong,"['tapi', 'pemainnya', 'juga', 'lebih', 'medioker', 'bagaimana', 'dong']"
maulana padahal secara permainan jauh lebih berkembang dan lebih bagus secara permainan kan kalau cuma modal piala mou di mu lebih bagus dong tapi nyatanya secara permainan biasa saja masih jauh,"['maulana', 'padahal', 'secara', 'permainan', 'jauh', 'lebih', 'berkembang', 'dan', 'lebih', 'bagus', 'secara', 'permainan', 'kan', 'kalau', 'cuma', 'modal', 'piala', 'mou', 'di', 'mu', 'lebih', 'bagus', 'dong', 'tapi', 'nyatanya', 'secara', 'permainan', 'biasa', 'saja', 'masih', 'jauh']"
enggak kan ini mah klub kebanggaan kita jadi mengapai narik kesimpulan offside,"['enggak', 'kan', 'ini', 'mah', 'klub', 'kebanggaan', 'kita', 'jadi', 'mengapai', 'narik', 'kesimpulan', 'offside']"
baru dua match tenang saja lagian pemain baru juga butuh waktu buat adaptasi,"['baru', 'dua', 'match', 'tenang', 'saja', 'lagian', 'pemain', 'baru', 'juga', 'butuh', 'waktu', 'buat', 'adaptasi']"
bayindir mazraoui deh ligt martinez dalot mainoo ugarte amad bruno garnacho zirkzee onana pinjemin saja liga tarkam,"['bayindir', 'mazraoui', 'deh', 'ligt', 'martinez', 'dalot', 'mainoo', 'ugarte', 'amad', 'bruno', 'garnacho', 'zirkzee', 'onana', 'pinjemin', 'saja', 'liga', 'tarkam']"
bek kita kayak enggak punya otak blunder lagi blunder lagi,"['bek', 'kita', 'kayak', 'enggak', 'punya', 'otak', 'blunder', 'lagi', 'blunder', 'lagi']"
saya berharap ruben amorim bisa segera membawa kemenangan pertama hasil imbang ini menunjukkan bahwa masih ada banyak ruang untuk perbaikan,"['saya', 'berharap', 'ruben', 'amorim', 'bisa', 'segera', 'membawa', 'kemenangan', 'pertama', 'hasil', 'imbang', 'ini', 'menunjukkan', 'bahwa', 'masih', 'ada', 'banyak', 'ruang', 'untuk', 'perbaikan']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
kalo sekarang setuju tapi kalo dijaman ole rashford ini bantay semua orang jink,"['kalo', 'sekarang', 'setuju', 'tapi', 'kalo', 'dijaman', 'ole', 'rashford', 'ini', 'bantay', 'semua', 'orang', 'jink']"
amorim jenius akhirnya tim ini punya pelatih dengan otak sepak bola sejati,"['amorim', 'jenius', 'akhirnya', 'tim', 'ini', 'punya', 'pelatih', 'dengan', 'otak', 'sepak', 'bola', 'sejati']"
amorim tambah mumet fan emyu tambah lebih sabar,"['amorim', 'tambah', 'mumet', 'fan', 'emyu', 'tambah', 'lebih', 'sabar']"
setiap pertandingan bisa posisi up and down menurut ku kita juga enggak tau bagaimana kondisi semua pemain tapi pas kemarin pas lawan fulham pada menyala semua moga tetap bisa konsisten,"['setiap', 'pertandingan', 'bisa', 'posisi', 'up', 'and', 'down', 'menurut', 'ku', 'kita', 'juga', 'enggak', 'tau', 'bagaimana', 'kondisi', 'semua', 'pemain', 'tapi', 'pas', 'kemarin', 'pas', 'lawan', 'fulham', 'pada', 'menyala', 'semua', 'moga', 'tetap', 'bisa', 'konsisten']"
alhamdulillah menang hoki,"['alhamdulillah', 'menang', 'hoki']"
kok bisa,"['kok', 'bisa']"
gue kira bakal kencang agak keatas bola nya enggak tau nya malah masih agak rendah,"['gue', 'kira', 'bakal', 'kencang', 'agak', 'keatas', 'bola', 'nya', 'enggak', 'tau', 'nya', 'malah', 'masih', 'agak', 'rendah']"
mending pakai kiper akademi saja sekalian,"['mending', 'pakai', 'kiper', 'akademi', 'saja', 'sekalian']"
cocok jadi supersub saja ini case untuk sekarang,"['cocok', 'jadi', 'supersub', 'saja', 'ini', 'case', 'untuk', 'sekarang']"
seru sih menonton tadi tapi aku enggak bisa bilang mereka main bagus,"['seru', 'sih', 'menonton', 'tadi', 'tapi', 'aku', 'enggak', 'bisa', 'bilang', 'mereka', 'main', 'bagus']"
tetap saja rashford main fulltime yang diganti amad,"['tetap', 'saja', 'rashford', 'main', 'fulltime', 'yang', 'diganti', 'amad']"
tominay kan laku lumayan lah,"['tominay', 'kan', 'laku', 'lumayan', 'lah']"
taktik counter attack lebih mematikan dibanding era ten hag,"['taktik', 'counter', 'attack', 'lebih', 'mematikan', 'dibanding', 'era', 'ten', 'hag']"
mulai menyalahkan pelatih wkk sudah rusak nu klub sampai ke dasar,"['mulai', 'menyalahkan', 'pelatih', 'wkk', 'sudah', 'rusak', 'nu', 'klub', 'sampai', 'ke', 'dasar']"
setuju kalo raspot starter gue ogah menonton,"['setuju', 'kalo', 'raspot', 'starter', 'gue', 'ogah', 'menonton']"
saya sedikit kecewa dengan hasil imbang namun saya melihat banyak hal positif dalam cara bermain tim di bawah ruben amorim,"['saya', 'sedikit', 'kecewa', 'dengan', 'hasil', 'imbang', 'namun', 'saya', 'melihat', 'banyak', 'hal', 'positif', 'dalam', 'cara', 'bermain', 'tim', 'di', 'bawah', 'ruben', 'amorim']"
hahaha siap sih paling enggak fomo,"['hahaha', 'siap', 'sih', 'paling', 'enggak', 'fomo']"
punya kiper bagus malah memilih badut build upbingung akhirya error pasing,"['punya', 'kiper', 'bagus', 'malah', 'memilih', 'badut', 'build', 'upbingung', 'akhirya', 'error', 'pasing']"
ten hag menunjukkan kemajuan dalam struktur permainan tetapi ada kelemahan jelas di lini serang yang harus diperbaiki,"['ten', 'hag', 'menunjukkan', 'kemajuan', 'dalam', 'struktur', 'permainan', 'tetapi', 'ada', 'kelemahan', 'jelas', 'di', 'lini', 'serang', 'yang', 'harus', 'diperbaiki']"
jangan hujat formasinya kalo formasi ini menang tadi pasti beda ketikan kalian,"['jangan', 'hujat', 'formasinya', 'kalo', 'formasi', 'ini', 'menang', 'tadi', 'pasti', 'beda', 'ketikan', 'kalian']"
rashford sudah sampai di titik enggak bisa dibela lagi,"['rashford', 'sudah', 'sampai', 'di', 'titik', 'enggak', 'bisa', 'dibela', 'lagi']"
saya percaya dengan filosofi ruben amorim bruno fernandes semakin kreatif namun lini serang masih perlu lebih banyak peluang di depan gawang,"['saya', 'percaya', 'dengan', 'filosofi', 'ruben', 'amorim', 'bruno', 'fernandes', 'semakin', 'kreatif', 'namun', 'lini', 'serang', 'masih', 'perlu', 'lebih', 'banyak', 'peluang', 'di', 'depan', 'gawang']"
waduh hahaha memang lu tau info apa sih kayaknya lebih bocah lu tong,"['waduh', 'hahaha', 'memang', 'lu', 'tau', 'info', 'apa', 'sih', 'kayaknya', 'lebih', 'bocah', 'lu', 'tong']"
onana dan mazroui tampil solid tapi lini belakang mu masih terlalu mudah ditembus bukan jaminan kita aman,"['onana', 'dan', 'mazroui', 'tampil', 'solid', 'tapi', 'lini', 'belakang', 'mu', 'masih', 'terlalu', 'mudah', 'ditembus', 'bukan', 'jaminan', 'kita', 'aman']"
grenwood top score liga perancis sekarg,"['grenwood', 'top', 'score', 'liga', 'perancis', 'sekarg']"
setuju dan para penaldo malah menyalahkan memang ole,"['setuju', 'dan', 'para', 'penaldo', 'malah', 'menyalahkan', 'memang', 'ole']"
pemain kita sudah bagus tapi finishing masih perlu diperbaiki banyak peluang terbuang siasia,"['pemain', 'kita', 'sudah', 'bagus', 'tapi', 'finishing', 'masih', 'perlu', 'diperbaiki', 'banyak', 'peluang', 'terbuang', 'siasia']"
berharap onana cedera panjang,"['berharap', 'onana', 'cedera', 'panjang']"
tag ten hag biar dengar,"['tag', 'ten', 'hag', 'biar', 'dengar']"
hojlund makin tajam tapi backline masih keropos kita enggak bisa terusterusan begini masih belum meyakinkan,"['hojlund', 'makin', 'tajam', 'tapi', 'backline', 'masih', 'keropos', 'kita', 'enggak', 'bisa', 'terusterusan', 'begini', 'masih', 'belum', 'meyakinkan']"
nah iya kata akun sebelah,"['nah', 'iya', 'kata', 'akun', 'sebelah']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
ten hag terlalu keras kepala dengan sistemnya amorim lebih adaptif dengan situasi,"['ten', 'hag', 'terlalu', 'keras', 'kepala', 'dengan', 'sistemnya', 'amorim', 'lebih', 'adaptif', 'dengan', 'situasi']"
garnacho cowok macho,"['garnacho', 'cowok', 'macho']"
kapan mainnya bang,"['kapan', 'mainnya', 'bang']"
semoga enggak kaya casemiro bagus nya musim pertama doang,"['semoga', 'enggak', 'kaya', 'casemiro', 'bagus', 'nya', 'musim', 'pertama', 'doang']"
skema serangan balik amorim lebih efektif pemain lebih cepat mengambil keputusan,"['skema', 'serangan', 'balik', 'amorim', 'lebih', 'efektif', 'pemain', 'lebih', 'cepat', 'mengambil', 'keputusan']"
menonton degan enggak menonton penasaran,"['menonton', 'degan', 'enggak', 'menonton', 'penasaran']"
betul sekali pemirsaah,"['betul', 'sekali', 'pemirsaah']"
mu bawa pulang kemenangan tapi kita enggak boleh lupa kalau defense kita masih lemah harus diperbaiki,"['mu', 'bawa', 'pulang', 'kemenangan', 'tapi', 'kita', 'enggak', 'boleh', 'lupa', 'kalau', 'defense', 'kita', 'masih', 'lemah', 'harus', 'diperbaiki']"
ten hag lebih suka memainkan pemain senior amorim lebih berani eksperimen,"['ten', 'hag', 'lebih', 'suka', 'memainkan', 'pemain', 'senior', 'amorim', 'lebih', 'berani', 'eksperimen']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
sampai akhir musim ya tapi ragu juga ten hag akan dipertahankan management sampai akhir musim,"['sampai', 'akhir', 'musim', 'ya', 'tapi', 'ragu', 'juga', 'ten', 'hag', 'akan', 'dipertahankan', 'management', 'sampai', 'akhir', 'musim']"
tim medis nya dipertanyakan,"['tim', 'medis', 'nya', 'dipertanyakan']"
apa yang salah dari tim ini sih yaampun,"['apa', 'yang', 'salah', 'dari', 'tim', 'ini', 'sih', 'yaampun']"
onana sudah berusaha keras tapi defense kita masih bocor harus ada pembenahan segera saja enggak cukup,"['onana', 'sudah', 'berusaha', 'keras', 'tapi', 'defense', 'kita', 'masih', 'bocor', 'harus', 'ada', 'pembenahan', 'segera', 'saja', 'enggak', 'cukup']"
saya sedikit ragu dengan filosofi permainan ruben amorim namun saya optimis dia akan memperbaiki kekurangan tim dalam waktu singkat,"['saya', 'sedikit', 'ragu', 'dengan', 'filosofi', 'permainan', 'ruben', 'amorim', 'namun', 'saya', 'optimis', 'dia', 'akan', 'memperbaiki', 'kekurangan', 'tim', 'dalam', 'waktu', 'singkat']"
sunimi trupi,"['sunimi', 'trupi']"
onana mulai nunjukin kelasnya makin tenang di bawah mistar enggak ada lagi dramadrama konyol,"['onana', 'mulai', 'nunjukin', 'kelasnya', 'makin', 'tenang', 'di', 'bawah', 'mistar', 'enggak', 'ada', 'lagi', 'dramadrama', 'konyol']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
nah mindset yang kaya begitu harus dirubah gonta ganti pelatih tiap tahun sekali tapi hasilnya tetap nihil berarti masalahnya sudah bukan pelatih lagi itu,"['nah', 'mindset', 'yang', 'kaya', 'begitu', 'harus', 'dirubah', 'gonta', 'ganti', 'pelatih', 'tiap', 'tahun', 'sekali', 'tapi', 'hasilnya', 'tetap', 'nihil', 'berarti', 'masalahnya', 'sudah', 'bukan', 'pelatih', 'lagi', 'itu']"
ugarte benerbener mengasih keseimbangan di tengah duetnya sama mainoo sudah kayak prime scholescarrick,"['ugarte', 'benerbener', 'mengasih', 'keseimbangan', 'di', 'tengah', 'duetnya', 'sama', 'mainoo', 'sudah', 'kayak', 'prime', 'scholescarrick']"
sampai harus disadarkan fan musuh,"['sampai', 'harus', 'disadarkan', 'fan', 'musuh']"
setiap pertandingan adalah peluang dan mu harus memanfaatkannya,"['setiap', 'pertandingan', 'adalah', 'peluang', 'dan', 'mu', 'harus', 'memanfaatkannya']"
astaga jangan woy,"['astaga', 'jangan', 'woy']"
semua fan mu juga tau ini min jelaslahh semua fan mu ingin wingernya tuh granacho dan amad lah,"['semua', 'fan', 'mu', 'juga', 'tau', 'ini', 'min', 'jelaslahh', 'semua', 'fan', 'mu', 'ingin', 'wingernya', 'tuh', 'granacho', 'dan', 'amad', 'lah']"
hm,['hm']
pemain kita harus mulai menonton tutorial youtube cara passing yang benar,"['pemain', 'kita', 'harus', 'mulai', 'menonton', 'tutorial', 'youtube', 'cara', 'passing', 'yang', 'benar']"
proses kan dikit demi sedikit dapat tropi ciki dulu baru yang lebih besar kalo mau nya tropi doang mending jadi fan klub lain bro,"['proses', 'kan', 'dikit', 'demi', 'sedikit', 'dapat', 'tropi', 'ciki', 'dulu', 'baru', 'yang', 'lebih', 'besar', 'kalo', 'mau', 'nya', 'tropi', 'doang', 'mending', 'jadi', 'fan', 'klub', 'lain', 'bro']"
banyak kok baru main di epl bagus kalau di latih pelatih yang tegas pola permainan bagus,"['banyak', 'kok', 'baru', 'main', 'di', 'epl', 'bagus', 'kalau', 'di', 'latih', 'pelatih', 'yang', 'tegas', 'pola', 'permainan', 'bagus']"
ini pasti dikasih minum sprite campur insto sama ci onana makanya mereka enggak fit,"['ini', 'pasti', 'dikasih', 'minum', 'sprite', 'campur', 'insto', 'sama', 'ci', 'onana', 'makanya', 'mereka', 'enggak', 'fit']"
