Comment Text,Cleaned Comment,Sentiment,preprocessing_comment
"Amad dapet menit main lebih banyak, dribblingnya ngeri! Akhirnya talenta muda MU beneran dikasih kesempatan.",amad dapet menit main lebih banyak dribblingnya ngeri akhirnya talenta muda mu beneran dikasih kesempatan,positif,amad menit main dribblingnya ngeri talenta muda mu benaran kasih kesempatan
Info mengenai channel streaming pertandingan sudah diupdate.,info mengenai channel streaming pertandingan sudah diupdate,netral,info channel streaming tanding diupdate
"Jual aja lah 50 jt juga gapapa, yg penting nih orang cepetan cabut jadi benalu aja",jual aja lah jt juga gapapa yg penting nih orang cepetan cabut jadi benalu aja,negatif,jual juta gapapa nih orang cepetan cabut benalu
"Kartu AS nya ada di garnacho, babak pertama sayap kiri bener"" ga jalan ï£¿Ã¼Ã²Ã",kartu as nya ada di garnacho babak pertama sayap kiri bener ga jalan,negatif,kartu as nya di garnacho babak sayap kiri jalan
"Penempatan posisi pemain lebih natural sekarang, Ten Hag sering memaksakan posisi.",penempatan posisi pemain lebih natural sekarang ten hag sering memaksakan posisi,negatif,penempatan posisi main natural ten hag paksa posisi
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"@foamiso iya itu maksud gw, bola udh depan semua pemain brigton, kan suka tuh udh one on one sama kiper trus bola nya di oper ke samping, kga offside",iya itu maksud gw bola udh depan semua pemain brigton kan suka tuh udh one on one sama kiper trus bola nya di oper ke samping kga offside,negatif,iya maksud gue bola main brigton suka tuh one on one kiper bola nya di oper ke samping kga offside
"Kebiasan bgt latian pada cedera, ini sistem nya gimna dahh",kebiasan bgt latian pada cedera ini sistem nya gimna dahh,negatif,bias banget latih cedera sistem nya dah
Mending maenin sancho lahh dari pada rashford ga bisa drible ngelewatin pemain aja bingung,mending maenin sancho lahh dari pada rashford ga bisa drible ngelewatin pemain aja bingung,negatif,mending maenin sancho rashford drible ngelewatin main bingung
mending ke juve tuker chiesa,mending ke juve tuker chiesa,netral,mending ke juve tuker chiesa
Dalot buang aja anjing nyusahin setiap match,dalot buang aja anjing nyusahin setiap match,negatif,dalot buang anjing nyusahin match
"Amorim lebih mengutamakan keseimbangan antara serangan dan bertahan, namun keputusan di depan gawang seringkali tidak tepat.",amorim lebih mengutamakan keseimbangan antara serangan dan bertahan namun keputusan di depan gawang seringkali tidak tepat,negatif,amorim utama imbang serang tahan putus di gawang seringkali
Pengen main di UEL aja,pengen main di uel aja,netral,pengin main di uel
Jadi inget dulu dia waktu pertama kali debut cocok nya jadi supersub coba aja dia jadiin supersub main nya pas babak ke 2,jadi inget dulu dia waktu pertama kali debut cocok nya jadi supersub coba aja dia jadiin supersub main nya pas babak ke,netral,kali debut cocok nya supersub coba jadikan supersub main nya pas babak ke
"Cuma bisa berdoa yang terbaik, g degradasi aja alhamdulillah. Moorhouse, chido yuk debut",cuma bisa berdoa yang terbaik g degradasi aja alhamdulillah moorhouse chido yuk debut,positif,doa terbaik degradasi alhamdulillah moorhouse chido yuk debut
Rashford OUT,rashford out,netral,rashford out
@ronaaldiii mungkin krna ini sih JD emyu nambah 30m ajh,mungkin krna ini sih jd emyu nambah m ajh,netral,sih emyu menambah m
"hahhhh??? garnacho di game kemarin malah ga keliatan pakkk,rashford mending masih mau ngumpan ke zirkzee dont judge pemain kita terus terusan semua ada waktu nya,garnacho mainoo dan amad masih terlalu muda untuk di andalkan,mental sama pengalamannya mas",hah garnacho di game kemarin malah ga keliatan pakrashford mending masih mau ngumpan ke zirkzee dont judge pemain kita terus terusan semua ada waktu nyagarnacho mainoo dan amad masih terlalu muda untuk di andalkanmental sama pengalamannya mas,negatif,hah garnacho di game kemarin pakrashford mending ngumpan ke zirkzee dont judge main terusan nyagarnacho mainoo amad muda di andalkanmental alam mas
"Board MU bodoh banget pecat Ten Hag, Amorim cuma pelatih kelas teri dari liga Portugal!",board mu bodoh banget pecat ten hag amorim cuma pelatih kelas teri dari liga portugal,negatif,board mu bodoh banget pecat ten hag amorim latih kelas teri liga portugal
"Gpp min, katanya kemarin kan yg salah cidera dan pemain yg ga perform. Bukan pelatihnya, eth kan pelatih hebat kata mereka",gpp min katanya kemarin kan yg salah cidera dan pemain yg ga perform bukan pelatihnya eth kan pelatih hebat kata mereka,positif,apa-apa min kemarin salah cidera main perform latih eth latih hebat
iyaa lagi ahaha,iyaa lagi ahaha,positif,iya ahaha
"Saya optimis dengan perubahan yang dibawa Ruben Amorim, tetapi kami harus lebih tajam di depan gawang untuk meraih kemenangan.",saya optimis dengan perubahan yang dibawa ruben amorim tetapi kami harus lebih tajam di depan gawang untuk meraih kemenangan,positif,optimis ubah bawa ruben amorim tajam di gawang raih menang
"Celeng lebih ke buang sampah sih, aga laen kalau emyu deal buang 1 sampah malah dapat caseback 2 sampah+ pasien bpjs",celeng lebih ke buang sampah sih aga laen kalau emyu deal buang sampah malah dapat caseback sampah pasien bpjs,negatif,celeng ke buang sampah sih aga emyu deal buang sampah caseback sampah pasien bpjs
@maulanapetzl_23 terus gantinya eth menurut abg siapa?,terus gantinya eth menurut abg siapa,negatif,ganti eth abang
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"dalot mah udah mentok wkwk gw aja lebih suka awb dulu walaupun nyerang ga bagus seenggaknya tanggung jawab di daerahnya , tapi banyak fans bilang âÃÃºpertahanan terbaik adalah menyerangâÃÃ¹ makan tuh . Gol pertama kemana dalot? Off position hbs nyerang",dalot mah udah mentok wkwk gw aja lebih suka awb dulu walaupun nyerang ga bagus seenggaknya tanggung jawab di daerahnya tapi banyak fans bilang pertahanan terbaik adalah menyerang makan tuh gol pertama kemana dalot off position hbs nyerang,positif,dalot mah mentok wkwk gue suka awb serang bagus seenggaknya tanggung di daerah fan bilang tahan terbaik serang makan tuh gol kemana dalot off position habis serang
"@mahadifqt tp kata pemujanya itu tidak bs dilakukan arteta di arsenal, tp secara kolektif dan permainan arsenal jauh lebih bagus.",tp kata pemujanya itu tidak bs dilakukan arteta di arsenal tp secara kolektif dan permainan arsenal jauh lebih bagus,positif,puja arteta di arsenal kolektif main arsenal bagus
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"gw yang coba sabar sama progres eth juga lama2 kesel anjay, out aja lah kalo sampe akhir musim gini2 doang mah",gw yang coba sabar sama progres eth juga lama kesel anjay out aja lah kalo sampe akhir musim gini doang mah,negatif,gue coba sabar progres eth kesel anjay out kalo musim doang mah
Jual aja saranin,jual aja saranin,netral,jual saran
lawak,lawak,negatif,lawak
"@rzkyaph udah bener dapat tandem pemain yg pas, eksperimen gak jelas lagi. Mas morim, mas morim",udah bener dapat tandem pemain yg pas eksperimen gak jelas lagi mas morim mas morim,positif,tandem main pas eksperimen mas morim mas morim
"Ten Hag terlalu fokus pada possession, Amorim lebih mementingkan efektivitas.",ten hag terlalu fokus pada possession amorim lebih mementingkan efektivitas,negatif,ten hag fokus possession amorim mementingkan efektivitas
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
@satri0anom22 you think!!,you think,positif,you think
Maguire ngapain dimainin?? De light sama lisandro udah ada cemistry wktu d Ajax,maguire ngapain dimainin de light sama lisandro udah ada cemistry wktu d ajax,negatif,maguire kapai dimainin deh light lisandro cemistry di ajax
Nonton MU sekarang bikin sakit mata. Amorim out! Bawa balik Ten Hag!,nonton mu sekarang bikin sakit mata amorim out bawa balik ten hag,negatif,tonton mu bikin sakit mata amorim out bawa ten hag
"Ten Hag sering kesulitan dalam merotasi pemain, Amorim lebih fleksibel.",ten hag sering kesulitan dalam merotasi pemain amorim lebih fleksibel,negatif,ten hag sulit rotasi main amorim fleksibel
"Berdoa, mulai!",berdoa mulai,netral,doa
"dulu maguire down, sekarang bagus. Sekarang plz kunciin raspot di wc",dulu maguire down sekarang bagus sekarang plz kunciin raspot di wc,negatif,maguire down bagus plz kunciin raspot di wc
"sebenernya mah banyak yg minat bg, napoli dan beberapa klub epl, tpi emg doi nya aja kekeuh gamau pindah",sebenernya mah banyak yg minat bg napoli dan beberapa klub epl tpi emg doi nya aja kekeuh gamau pindah,negatif,mah minat bang napoli klub epl doi nya kekeuh pindah
"Ten Hag terlalu keras kepala dengan sistemnya, Amorim lebih adaptif dengan situasi.",ten hag terlalu keras kepala dengan sistemnya amorim lebih adaptif dengan situasi,negatif,ten hag keras kepala sistem amorim adaptif situasi
Bismillah degradasi ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,bismillah degradasi,positif,bismillah degradasi
"Ten Hag jauh lebih bagus, Amorim belum membuktikan apa-apa.",ten hag jauh lebih bagus amorim belum membuktikan apaapa,negatif,ten hag bagus amorim bukti apaapa
jadi lo tugasnya cuma koar2 ya? Siaappp. Keliatan kualitasnya dimana,jadi lo tugasnya cuma koar ya siaap keliatan kualitasnya dimana,negatif,lo tugas koar ya siaap kualitas dimana
"Kemenangan besar 4-0, tapi kita tetap harus waspada. Pertahanan harus lebih solid agar nggak kebobolan lagi.",kemenangan besar tapi kita tetap harus waspada pertahanan harus lebih solid agar nggak kebobolan lagi,positif,menang waspada tahan solid bobol
Amorim out,amorim out,negatif,amorim out
midchester united,midchester united,netral,midchester united
kapan mainnya bangï£¿Ã¼Ã®â¢,kapan mainnya bang,netral,main bang
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
sabi nambah pasien bpjs,sabi nambah pasien bpjs,netral,sabi menambah pasien bpjs
"mana gayanya sok jago lagi, sekarang males nonton mu gara - gara ada onana.",mana gayanya sok jago lagi sekarang males nonton mu gara gara ada onana,positif,gaya sok jago malas tonton mu gara gara onana
"Performa tim lebih solid di bawah Ruben Amorim, namun lini serang yang tumpul membuat kami hanya mendapatkan hasil imbang di laga kedua.",performa tim lebih solid di bawah ruben amorim namun lini serang yang tumpul membuat kami hanya mendapatkan hasil imbang di laga kedua,negatif,performa tim solid di ruben amorim lini serang tumpul hasil imbang di laga
Mungkin aja kena flu. Gak melulu soal cedera,mungkin aja kena flu gak melulu soal cedera,negatif,kena flu melulu cedera
"Hojlund makin tajam, tapi jika defense kita nggak solid, bisa jadi bumerang. MU harus lebih hati-hati.",hojlund makin tajam tapi jika defense kita nggak solid bisa jadi bumerang mu harus lebih hatihati,positif,hojlund tajam defense solid bumerang mu hatihati
"Lini kita udah oke, tapi kita masih banyak celah di belakang. 2-1, tapi defense harus diperbaiki.",lini kita udah oke tapi kita masih banyak celah di belakang tapi defense harus diperbaiki,negatif,lini oke celah di defense diperbaiki
Grenwood top score liga perancis sekargï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,grenwood top score liga perancis sekarg,netral,grenwood top score liga perancis sekarg
bersama tenhag akan tertawa terbahak bahak,bersama tenhag akan tertawa terbahak bahak,positif,tenhag tertawa bahak bahak
"Saya sangat senang melihat perkembangan dari Rashford. Meskipun hasil imbang, Ruben Amorim berhasil membawa perubahan yang positif di tim.",saya sangat senang melihat perkembangan dari rashford meskipun hasil imbang ruben amorim berhasil membawa perubahan yang positif di tim,positif,senang kembang rashford hasil imbang ruben amorim hasil bawa ubah positif di tim
"Lini pertahanan terlihat lebih solid di bawah Ruben Amorim, namun lini serang perlu lebih tajam untuk meraih kemenangan di pertandingan berikutnya.",lini pertahanan terlihat lebih solid di bawah ruben amorim namun lini serang perlu lebih tajam untuk meraih kemenangan di pertandingan berikutnya,positif,lini tahan solid di ruben amorim lini serang tajam raih menang di tanding
Sty in,sty in,netral,sty
@denol94 nah iy kata akun sebelah,nah iy kata akun sebelah,negatif,iya akun belah
"2-1 buat MU! Tapi kalau defense tetap kayak gini, kita nggak bakal bisa menang terus. Segera perbaiki!",buat mu tapi kalau defense tetap kayak gini kita nggak bakal bisa menang terus segera perbaiki,positif,mu defense kayak menang perbaiki
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
amad casemiro kurs bgt,amad casemiro kurs bgt,positif,amad casemiro kurs banget
apadahï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,apadah,negatif,apadah
@bachira_ego konstribusi gw? nonton live stream bayar di vidio.com ï£¿Ã¼Ã«Ã§,konstribusi gw nonton live stream bayar di vidiocom,netral,konstribusi gue tonton live stream bayar di vidiocom
"@igjndi_ ayo lah bro, ini MU masa trofi ciki aja di banggain, minimal dapet eropa lah ga domestik mulu.",ayo lah bro ini mu masa trofi ciki aja di banggain minimal dapet eropa lah ga domestik mulu,positif,ayo bro mu trofi cik di bangga minimal eropa domestik mulu
@mrihsani tapi bnyak yg buta bg. Bilang arteta dapat apa katanya,tapi bnyak yg buta bg bilang arteta dapat apa katanya,negatif,buta bang bilang arteta
"Midfield kita sampah! Nggak bisa ngontrol tempo, umpan ngaco semua!",midfield kita sampah nggak bisa ngontrol tempo umpan ngaco semua,positif,midfield sampah ngontrol tempo umpan aco
"@gilang.prattama bukan opsi, tapi wajib",prattama bukan opsi tapi wajib,netral,prattama opsi wajib
"lah dulu beli pemain bintang mahal juga bapuk,",lah dulu beli pemain bintang mahal juga bapuk,negatif,beli main bintang mahal bapuk
"Butuh playmaker, winger cerdas ï£¿Ã¼Ã´Ã¨ ampun ga ketolong otak monoton semuaï£¿Ã¼Ã´Ã¨ï£¿Ã¼Ã´Ã¨",butuh playmaker winger cerdas ampun ga ketolong otak monoton semua,positif,butuh playmaker winger cerdas ampun tolong otak monoton
Jadi 1 clan sama ayam sayur,jadi clan sama ayam sayur,negatif,clan ayam sayur
Berdoa aja gaes semoga onana ga ngelawak,berdoa aja gaes semoga onana ga ngelawak,negatif,doa gaes moga onana ngelawak
Grenwood top score liga perancis sekargï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,grenwood top score liga perancis sekarg,netral,grenwood top score liga perancis sekarg
yaelah kalah nih,yaelah kalah nih,negatif,yaelah kalah nih
lawak haha,lawak haha,negatif,lawak haha
12 vs 10. we deserve to winï£¿Ã¼Ã´Ã¥,vs we deserve to win,netral,vs we deserve win
"Garnacho dan Bruno makin bersinar! Tapi kalau pertahanan nggak lebih rapat, kita bisa kesulitan di laga-laga berikutnya.",garnacho dan bruno makin bersinar tapi kalau pertahanan nggak lebih rapat kita bisa kesulitan di lagalaga berikutnya,positif,garnacho bruno sinar tahan rapat sulit di lagalaga
@aliyyufezar offside,offside,negatif,offside
"Gelandang kita bukan cuma beban, tapi juga tukang kasih bola gratis buat lawan!",gelandang kita bukan cuma beban tapi juga tukang kasih bola gratis buat lawan,negatif,gelandang beban tukang kasih bola gratis lawan
Mending pake kiper akademi aja sekalian,mending pake kiper akademi aja sekalian,negatif,mending pakai kiper akademi
"Amorim akhirnya bikin tim lebih kompak, tapi defense kita masih sering keluar dari posisi. Perlu lebih rapat!",amorim akhirnya bikin tim lebih kompak tapi defense kita masih sering keluar dari posisi perlu lebih rapat,netral,amorim bikin tim kompak defense posisi rapat
eth,eth,negatif,eth
iya bener belum sampe akhir musim awkwkkw ten hag stay 10 musim,iya bener belum sampe akhir musim awkwkkw ten hag stay musim,positif,iya musim awkwkkw ten hag stay musim
"Amorim lebih berhasil dalam mengatur pertahanan, tapi kadang serangan tim masih terhambat oleh keputusan yang buruk.",amorim lebih berhasil dalam mengatur pertahanan tapi kadang serangan tim masih terhambat oleh keputusan yang buruk,negatif,amorim hasil atur tahan kadang serang tim hambat putus buruk
Sabaaarrr masih ada 36 game lg buat nglawakkk,sabar masih ada game lg buat nglawak,negatif,sabar game nglawak
miracle in emirates stadiumï£¿Ã¼Ã®â¢,miracle in emirates stadium,netral,miracle emirates stadium
Info dari ig sebelah katanya gaji dibayar setengah min?,info dari ig sebelah katanya gaji dibayar setengah min,netral,info ig belah gaji bayar min
"ya itu karena brightonnya bagus main offside trap,trus dengan lu masukin mctominay ada perubahan kah?",ya itu karena brightonnya bagus main offside traptrus dengan lu masukin mctominay ada perubahan kah,positif,ya brightonnya bagus main offside traptrus lu masukin mctominay ubah kah
"Saya senang melihat Bruno Fernandes tampil lebih dominan di lini tengah, meskipun hasilnya imbang, saya optimis dengan masa depan MU di bawah Ruben Amorim.",saya senang melihat bruno fernandes tampil lebih dominan di lini tengah meskipun hasilnya imbang saya optimis dengan masa depan mu di bawah ruben amorim,positif,senang bruno fernandes tampil dominan di lini hasil imbang optimis mu di ruben amorim
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"sama, karena ga pernah nonton liga prancis. Harga juga lumayan mahal, mudah2an saja memang bagus. Tapi logikanya kalo bagus psg ga mungkin beli dmf baru, apalagi ugarte ini baru dibeli.",sama karena ga pernah nonton liga prancis harga juga lumayan mahal mudahan saja memang bagus tapi logikanya kalo bagus psg ga mungkin beli dmf baru apalagi ugarte ini baru dibeli,negatif,tonton liga prancis harga lumayan mahal mudah bagus logika kalo bagus psg beli dmf ugarte beli
"@danurbrhmnthaji hoo.. terkuras buat emosi, overthinking, dan di area kerja tadi dibully, sepulang kerja lihat livescore giliran aku yg ngebullyï£¿Ã¼Ã²Ã",hoo terkuras buat emosi overthinking dan di area kerja tadi dibully sepulang kerja lihat livescore giliran aku yg ngebully,negatif,hoo kuras emosi overthinking di area kerja dibully pulang kerja lihat livescore gilir ngebully
Ga ada bedanya ama 10hag .. gonta ganti pemain .. kenapa ya ga kayak klub lain pelatih baru tapi udah paten formasinya ï£¿Ã¼Ã²â ï£¿Ã¼Ã²â,ga ada bedanya ama hag gonta ganti pemain kenapa ya ga kayak klub lain pelatih baru tapi udah paten formasinya,negatif,beda hag gonta ganti main ya kayak klub latih paten formasi
Dan itulah faktanya..,dan itulah faktanya,netral,fakta
@abllxsz lu kan nanya posisi 2 unbeaten juga? Bilbao emang unbeaten kah?,lu kan nanya posisi unbeaten juga bilbao emang unbeaten kah,netral,lu posisi unbeaten bilbao unbeaten kah
@theobonaa bagus ga bang dorgu mainnya?,bagus ga bang dorgu mainnya,positif,bagus bang dorgu main
"Ruben Amorim sudah mulai memperkenalkan filosofi baru, namun saya merasa lini serang masih perlu banyak perbaikan untuk meraih kemenangan.",ruben amorim sudah mulai memperkenalkan filosofi baru namun saya merasa lini serang masih perlu banyak perbaikan untuk meraih kemenangan,positif,ruben amorim kenal filosofi lini serang perbaikan raih menang
tim medis nya dipertanyakan,tim medis nya dipertanyakan,netral,tim medis nya
Garnacho in & delight biar hidup permainan jgn telat masukannya,garnacho in delight biar hidup permainan jgn telat masukannya,netral,garnacho delight biar hidup main telat masuk
@maulanapetzl_23 terus coba sebutin siapa yg cocok gantiin?,terus coba sebutin siapa yg cocok gantiin,netral,coba sebutin cocok gantiin
Gue yakin kalo STY dikasih tim MU pasti jauh lebih baik dari amorimï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã pelatih penjas ini mah,gue yakin kalo sty dikasih tim mu pasti jauh lebih baik dari amorim pelatih penjas ini mah,positif,gue kalo sty kasih tim mu amorim latih jas mah
@danielrodrigges bukannya oshimen di loan ke galatasaray?,bukannya oshimen di loan ke galatasaray,negatif,oshimen di loan ke galatasaray
Berjuang teros kapan gol in nya,berjuang teros kapan gol in nya,negatif,juang ros gol nya
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"Boleh lah buat tambah back up,takutnya banyak cedera yg ada nyalah nyalahin bisanya nanti kalo engga ada pergantian pemain senior",boleh lah buat tambah back uptakutnya banyak cedera yg ada nyalah nyalahin bisanya nanti kalo engga ada pergantian pemain senior,positif,back uptakutnya cedera nyalah salah bisanya kalo ganti main senior
"Amorim jenius! Main cepat dan efektif, lawan sampai nggak berkutik!",amorim jenius main cepat dan efektif lawan sampai nggak berkutik,positif,amorim jenius main cepat efektif lawan kutik
bangsat,bangsat,negatif,bangsat
"Formasi 3421 bolehlah sekali-kali, GK : Onana,  DLC : Martinez, DC : Maguire, DRC : De Light, DMC : Ugarte, MCR Casemiro, MCL :  Mainoo, DMR :: Dalot, DML : Shaw, AMCR : Amad, AMCL : Bruno, FC : Hojlund",formasi bolehlah sekalikali gk onana dlc martinez dc maguire drc de light dmc ugarte mcr casemiro mcl mainoo dmr dalot dml shaw amcr amad amcl bruno fc hojlund,netral,formasi sekalikali onana dlc martinez dc maguire drc deh light dmc ugarte mcr casemiro mcl mainoo dmr dalot dml shaw amcr amad amcl bruno fc hojlund
"@mputraff Taun kemarin aja anjlok mau alasan apa lagi, cidera? Lu pikir semua tim gada yng cedera?",taun kemarin aja anjlok mau alasan apa lagi cidera lu pikir semua tim gada yng cedera,negatif,kemarin anjlok alas cidera lu pikir tim cedera
Capekkk serius deh,capek serius deh,netral,capek serius deh
Beberapa pemain masih kesulitan memahami sistem permainan baru.,beberapa pemain masih kesulitan memahami sistem permainan baru,netral,main sulit paham sistem main
"@rulyadi_munandar nahh bener,udah susah payah beli de ligt malah masang Wak hajiï£¿Ã¼Ã²Ã",nahh benerudah susah payah beli de ligt malah masang wak haji,negatif,benerudah susah payah beli deh ligt masang wak haji
Setuju dan kualitas United akan tetap seperti itu jika masih ada rashy,setuju dan kualitas united akan tetap seperti itu jika masih ada rashy,positif,tuju kualitas united rashy
"bayindir , mazraoui, de ligt , martinez , dalot.  mainoo ugarte , amad bruno garnacho , zirkzee âÃ¹Â§ÃâÃ¨ , onana pinjemin aja liga tarkam",bayindir mazraoui de ligt martinez dalot mainoo ugarte amad bruno garnacho zirkzee onana pinjemin aja liga tarkam,netral,bayindir mazraoui deh ligt martinez dalot mainoo ugarte amad bruno garnacho zirkzee onana pinjemin liga tarkam
"Onana dan Mazroui tampil solid, tapi lini belakang MU masih terlalu mudah ditembus. 4-1 bukan jaminan kita aman.",onana dan mazroui tampil solid tapi lini belakang mu masih terlalu mudah ditembus bukan jaminan kita aman,netral,onana mazroui tampil solid lini mu mudah tembus jamin aman
pemain sinetron kah pemain arsenal ini?,pemain sinetron kah pemain arsenal ini,negatif,main sinetron kah main arsenal
@aji_afotsum ente penyefong onanin dan tengag?,ente penyefong onanin dan tengag,negatif,ente penyefong onanin tengag
"Kenapa tiap emyu cetak gol ,itu wasit var matanya langsung jeli.",kenapa tiap emyu cetak gol itu wasit var matanya langsung jeli,netral,emyu cetak gol wasit var mata langsung jeli
"kudunya tuh pemain harus bermain autopilot kaya jaman ole, tapi sekarang harus ngikutin sistem tenhag",kudunya tuh pemain harus bermain autopilot kaya jaman ole tapi sekarang harus ngikutin sistem tenhag,negatif,kudu tuh main main autopilot kaya jaman ole mengikuti sistem tenhag
Poor club,poor club,netral,poor club
"Ugarte bener-bener ngasih keseimbangan di tengah, duetnya sama Mainoo udah kayak prime Scholes-Carrick!",ugarte benerbener ngasih keseimbangan di tengah duetnya sama mainoo udah kayak prime scholescarrick,positif,ugarte benerbener asih imbang di duet mainoo kayak prime scholescarrick
@tjoi87k9p seengganya lah menang bang,seengganya lah menang bang,positif,seengganya menang bang
"@nurimanhdyt & ini masih pakek pemain yg ada, blm yg dia semua mau ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã«Ã¨",ini masih pakek pemain yg ada blm yg dia semua mau,netral,pakai main
Jual aja saranin,jual aja saranin,netral,jual saran
Altayï£¿Ã¼Ã®â¢âÃ¹Â§ÃâÃ¨,altay,positif,altay
"Gapapa, secara permainan aja dah bagus prospeknya oke ï£¿Ã¼Ã®â¢",gapapa secara permainan aja dah bagus prospeknya oke,positif,gapapa main deh bagus prospek oke
"Bruno Fernandes tetap menjadi pengatur permainan, meskipun ada beberapa kali dia kehilangan bola dalam situasi krusial.",bruno fernandes tetap menjadi pengatur permainan meskipun ada beberapa kali dia kehilangan bola dalam situasi krusial,netral,bruno fernandes atur main kali hilang bola situasi krusial
"Saya melihat banyak peningkatan dalam permainan tim, meskipun hasilnya imbang, saya optimis dengan filosofi yang dibawa oleh Ruben Amorim.",saya melihat banyak peningkatan dalam permainan tim meskipun hasilnya imbang saya optimis dengan filosofi yang dibawa oleh ruben amorim,positif,tingkat main tim hasil imbang optimis filosofi bawa ruben amorim
"Hojlund makin menunjukkan kualitasnya! Tapi kita nggak bisa hanya berharap dari lini depan. Defense harus lebih kompak, MU menang 3-0.",hojlund makin menunjukkan kualitasnya tapi kita nggak bisa hanya berharap dari lini depan defense harus lebih kompak mu menang,positif,hojlund kualitas harap lini defense kompak mu menang
@maulana_26 selama ga ada onana kita ngeliatnya kaya ya aman aja gitu bangï£¿Ã¼Ã²Ã,selama ga ada onana kita ngeliatnya kaya ya aman aja gitu bang,negatif,onana kaya ya aman bang
"MU harus meningkatkan permainan passing di lini tengah, banyak yang harus diperbaiki.",mu harus meningkatkan permainan passing di lini tengah banyak yang harus diperbaiki,netral,mu tingkat main passing di lini diperbaiki
"Sering terjadi miskomunikasi di lini belakang, harus segera diperbaiki.",sering terjadi miskomunikasi di lini belakang harus segera diperbaiki,netral,miskomunikasi di lini diperbaiki
Sosoan beli loan pemain ke tim lain pengganti nya gaada ï£¿Ã¼Ã²Ã transfer window bukanya manfaatin malah beli satu ï£¿Ã¼Ã²Ã,sosoan beli loan pemain ke tim lain pengganti nya gaada transfer window bukanya manfaatin malah beli satu,positif,sosoan beli loan main ke tim ganti nya transfer window buka manfaatin beli
Banyak pemain MU yang harus meningkatkan mentalitas mereka.,banyak pemain mu yang harus meningkatkan mentalitas mereka,netral,main mu tingkat mentalitas
Botak sengaja mainin Rashford biar makin cepat dia di pecat,botak sengaja mainin rashford biar makin cepat dia di pecat,negatif,botak sengaja mainin rashford biar cepat di pecat
Boleh juga yah main Joshua Zikri sekarangï£¿Ã¼Ã®â¢,boleh juga yah main joshua zikri sekarang,netral,ya main joshua zikri
"@anggi1994 gak sebanding, gara"" td malah jd kalah ï£¿Ã¼Ã²Ã",gak sebanding gara td malah jd kalah,negatif,banding gara kalah
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"Banyak pelanggaran aneh, tapi terlepas dari itu mainnya jelek.. rashford mentok, garnacho juga ikut ikutan, zirkzee Oke Bruno kalo udah frustasi ya gitu, case sih parah, semoga ugarte bisa gantiin role nya. Onana udah dah bapuk, buildup sih lumayan tapi kurang efektif",banyak pelanggaran aneh tapi terlepas dari itu mainnya jelek rashford mentok garnacho juga ikut ikutan zirkzee oke bruno kalo udah frustasi ya gitu case sih parah semoga ugarte bisa gantiin role nya onana udah dah bapuk buildup sih lumayan tapi kurang efektif,positif,langgar aneh lepas main jelek rashford mentok garnacho ikutan zirkzee oke bruno kalo frustasi ya case sih parah moga ugarte gantiin role nya onana deh bapuk buildup sih lumayan efektif
Virus tahunan,virus tahunan,negatif,virus tahunan
"Cuma di MU pemain tua masih di pakai, jd wajar kalau mainnya tim ini paling jelek diantara tim big 6 bahkan 10 besar kayaknya.",cuma di mu pemain tua masih di pakai jd wajar kalau mainnya tim ini paling jelek diantara tim big bahkan besar kayaknya,negatif,di mu main tua di pakai wajar main tim jelek tim big kayak
Betul banget bang. Kacau jadinya di menit menit krusial,betul banget bang kacau jadinya di menit menit krusial,negatif,banget bang kacau di menit menit krusial
"Amorim kasih kita kemenangan penting, tapi pertahanan tetap jadi masalah. 4-1 buat MU, tapi harus lebih solid.",amorim kasih kita kemenangan penting tapi pertahanan tetap jadi masalah buat mu tapi harus lebih solid,positif,amorim kasih menang tahan mu solid
Sterling sm maduake gpp,sterling sm maduake gpp,netral,sterling maduake apa-apa
Antony tuker mudryk aja,antony tuker mudryk aja,netral,antony tuker mudryk
"@danurbrhmnthaji sial emamh, aku nonton babak pertama aja pas kebobolan, selesai babak pertama aku matiin krena masuk kerjaï£¿Ã¼â¢â«",sial emamh aku nonton babak pertama aja pas kebobolan selesai babak pertama aku matiin krena masuk kerja,negatif,sial emamh tonton babak pas bobol selesai babak matiin masuk kerja
